Sat0_3:61:30:('7 Jun 2023 15:01:45.568', '7 Jun 2023 15:05:48.665')
Sat0_3:61:31:('8 Jun 2023 09:41:18.381', '8 Jun 2023 09:45:28.814')
Sat0_3:61:32:('8 Jun 2023 11:20:15.745', '8 Jun 2023 11:24:00.843')
Sat0_3:61:33:('8 Jun 2023 12:59:23.561', '8 Jun 2023 13:03:01.959')
Sat0_3:61:34:('8 Jun 2023 14:37:53.107', '8 Jun 2023 14:42:09.570')
Sat0_3:61:35:('9 Jun 2023 09:17:44.972', '9 Jun 2023 09:21:32.774')
Sat0_3:61:36:('9 Jun 2023 10:56:17.338', '9 Jun 2023 11:00:14.948')
Sat0_3:61:37:('9 Jun 2023 12:35:34.678', '9 Jun 2023 12:39:04.094')
Sat0_3:61:38:('9 Jun 2023 14:14:04.638', '9 Jun 2023 14:18:23.021')
Sat0_3:61:39:('10 Jun 2023 08:54:25.991', '10 Jun 2023 08:57:26.038')
Sat0_3:61:40:('10 Jun 2023 10:32:20.565', '10 Jun 2023 10:36:29.657')
Sat0_3:61:41:('10 Jun 2023 12:11:42.949', '10 Jun 2023 12:15:08.314')
Sat0_3:61:42:('10 Jun 2023 13:50:18.379', '10 Jun 2023 13:54:31.061')
Sat0_3:61:43:('10 Jun 2023 15:29:35.984', '10 Jun 2023 15:32:05.042')
Sat0_3:61:44:('11 Jun 2023 08:31:50.837', '11 Jun 2023 08:32:39.324')
Sat0_3:61:45:('11 Jun 2023 10:08:26.972', '11 Jun 2023 10:12:43.892')
Sat0_3:61:46:('11 Jun 2023 11:47:48.215', '11 Jun 2023 11:51:15.412')
Sat0_3:61:47:('11 Jun 2023 13:26:33.037', '11 Jun 2023 13:30:35.329')
Sat0_3:61:48:('11 Jun 2023 15:05:21.699', '11 Jun 2023 15:08:55.084')
Sat0_3:61:49:('12 Jun 2023 09:44:38.131', '12 Jun 2023 09:48:56.448')
Sat0_3:61:50:('12 Jun 2023 11:23:51.018', '12 Jun 2023 11:27:25.492')
Sat0_3:61:51:('12 Jun 2023 13:02:47.499', '12 Jun 2023 13:06:37.369')
Sat0_3:61:52:('12 Jun 2023 14:41:22.454', '12 Jun 2023 14:45:26.298')
Sat0_3:61:53:('13 Jun 2023 09:20:55.878', '13 Jun 2023 09:25:05.785')
Sat0_3:61:54:('13 Jun 2023 10:59:52.503', '13 Jun 2023 11:03:38.044')
Sat0_3:61:55:('13 Jun 2023 12:39:00.720', '13 Jun 2023 12:42:38.725')
Sat0_3:61:56:('13 Jun 2023 14:17:30.180', '13 Jun 2023 14:21:46.887')
Sat0_3:61:57:('14 Jun 2023 08:57:22.871', '14 Jun 2023 09:01:09.475')
Sat0_3:61:58:('14 Jun 2023 10:35:54.128', '14 Jun 2023 10:39:52.190')
Sat0_3:61:59:('14 Jun 2023 12:15:11.742', '14 Jun 2023 12:18:40.917')
Sat0_3:61:60:('14 Jun 2023 13:53:41.818', '14 Jun 2023 13:58:00.109')
Sat0_4:61:0:('1 Jun 2023 10:39:19.930', '1 Jun 2023 10:43:38.403')
Sat0_4:61:1:('1 Jun 2023 12:18:38.556', '1 Jun 2023 12:22:08.245')
Sat0_4:61:2:('1 Jun 2023 13:57:28.162', '1 Jun 2023 14:01:25.286')
Sat0_4:61:3:('1 Jun 2023 15:36:09.771', '1 Jun 2023 15:39:58.830')
Sat0_4:61:4:('2 Jun 2023 10:15:33.633', '2 Jun 2023 10:19:49.814')
Sat0_4:61:5:('2 Jun 2023 11:54:40.637', '2 Jun 2023 11:58:19.463')
Sat0_4:61:6:('2 Jun 2023 13:33:42.220', '2 Jun 2023 13:37:26.842')
Sat0_4:61:7:('2 Jun 2023 15:12:14.009', '2 Jun 2023 15:16:24.991')
Sat0_4:61:8:('3 Jun 2023 09:51:54.883', '3 Jun 2023 09:55:57.147')
Sat0_4:61:9:('3 Jun 2023 11:30:41.989', '3 Jun 2023 11:34:32.811')
Sat0_4:61:10:('3 Jun 2023 13:09:54.611', '3 Jun 2023 13:13:28.375')
Sat0_4:61:11:('3 Jun 2023 14:48:23.659', '3 Jun 2023 14:52:42.165')
Sat0_4:61:12:('4 Jun 2023 09:28:27.114', '4 Jun 2023 09:31:57.172')
Sat0_4:61:13:('4 Jun 2023 11:06:44.143', '4 Jun 2023 11:10:47.325')
Sat0_4:61:14:('4 Jun 2023 12:46:04.479', '4 Jun 2023 12:49:31.335')
Sat0_4:61:15:('4 Jun 2023 14:24:36.388', '4 Jun 2023 14:28:52.905')
Sat0_4:61:16:('4 Jun 2023 16:04:30.193', '4 Jun 2023 16:05:41.162')
Sat0_4:61:17:('5 Jun 2023 09:05:19.421', '5 Jun 2023 09:07:40.907')
Sat0_4:61:18:('5 Jun 2023 10:42:48.643', '5 Jun 2023 10:47:01.950')
Sat0_4:61:19:('5 Jun 2023 12:22:11.346', '5 Jun 2023 12:25:36.817')
Sat0_4:61:20:('5 Jun 2023 14:00:50.696', '5 Jun 2023 14:04:59.016')
Sat0_4:61:21:('5 Jun 2023 15:39:52.081', '5 Jun 2023 15:42:57.106')
Sat0_4:61:22:('6 Jun 2023 10:18:57.031', '6 Jun 2023 10:23:15.577')
Sat0_4:61:23:('6 Jun 2023 11:58:15.370', '6 Jun 2023 12:01:45.317')
Sat0_4:61:24:('6 Jun 2023 13:37:05.400', '6 Jun 2023 13:41:02.071')
Sat0_4:61:25:('6 Jun 2023 15:15:46.498', '6 Jun 2023 15:19:36.692')
Sat0_4:61:26:('7 Jun 2023 09:55:10.967', '7 Jun 2023 09:59:26.875')
Sat0_4:61:27:('7 Jun 2023 11:34:17.400', '7 Jun 2023 11:37:56.627')
Sat0_4:61:28:('7 Jun 2023 13:13:19.416', '7 Jun 2023 13:17:03.602')
Sat0_4:61:29:('7 Jun 2023 14:51:50.993', '7 Jun 2023 14:56:02.463')
Sat0_4:61:30:('8 Jun 2023 09:31:32.543', '8 Jun 2023 09:35:34.012')
Sat0_4:61:31:('8 Jun 2023 11:10:18.754', '8 Jun 2023 11:14:10.034')
Sat0_4:61:32:('8 Jun 2023 12:49:31.728', '8 Jun 2023 12:53:05.160')
Sat0_4:61:33:('8 Jun 2023 14:28:00.788', '8 Jun 2023 14:32:19.366')
Sat0_4:61:34:('9 Jun 2023 09:08:05.275', '9 Jun 2023 09:11:33.671')
Sat0_4:61:35:('9 Jun 2023 10:46:20.966', '9 Jun 2023 10:50:24.571')
Sat0_4:61:36:('9 Jun 2023 12:25:41.493', '9 Jun 2023 12:29:08.194')
Sat0_4:61:37:('9 Jun 2023 14:04:13.598', '9 Jun 2023 14:08:29.908')
Sat0_4:61:38:('9 Jun 2023 15:44:03.412', '9 Jun 2023 15:45:22.806')
Sat0_4:61:39:('10 Jun 2023 08:44:58.756', '10 Jun 2023 08:47:16.373')
Sat0_4:61:40:('10 Jun 2023 10:22:25.581', '10 Jun 2023 10:26:39.180')
Sat0_4:61:41:('10 Jun 2023 12:01:48.250', '10 Jun 2023 12:05:13.782')
Sat0_4:61:42:('10 Jun 2023 13:40:27.941', '10 Jun 2023 13:44:35.882')
Sat0_4:61:43:('10 Jun 2023 15:19:28.297', '10 Jun 2023 15:22:35.612')
Sat0_4:61:44:('11 Jun 2023 09:58:34.141', '11 Jun 2023 10:02:52.748')
