Sat0_4:40:28:('4 Jun 2023 14:14:35.666', '4 Jun 2023 14:30:59.048')
Sat0_4:40:29:('4 Jun 2023 16:24:01.555', '4 Jun 2023 16:45:56.370')
Sat0_4:40:30:('4 Jun 2023 18:33:03.025', '4 Jun 2023 18:54:31.993')
Sat0_4:40:31:('4 Jun 2023 20:43:59.562', '4 Jun 2023 20:54:57.625')
Sat0_4:40:32:('5 Jun 2023 04:45:56.879', '5 Jun 2023 05:01:10.632')
Sat0_4:40:33:('5 Jun 2023 06:48:54.073', '5 Jun 2023 07:11:09.263')
Sat0_4:40:34:('5 Jun 2023 08:59:06.423', '5 Jun 2023 09:20:07.494')
Sat0_4:40:35:('5 Jun 2023 11:15:18.892', '5 Jun 2023 11:30:01.763')
Sat0_4:40:36:('5 Jun 2023 13:30:45.243', '5 Jun 2023 13:45:05.523')
Sat0_4:40:37:('5 Jun 2023 15:40:48.981', '5 Jun 2023 16:01:33.480')
Sat0_4:40:38:('5 Jun 2023 17:49:47.210', '5 Jun 2023 18:12:09.557')
Sat0_4:40:39:('5 Jun 2023 19:59:36.729', '5 Jun 2023 20:15:38.659')
Sat0_5:40:0:('1 Jun 2023 05:12:40.474', '1 Jun 2023 05:29:06.310')
Sat0_5:40:1:('1 Jun 2023 07:16:25.999', '1 Jun 2023 07:38:51.492')
Sat0_5:40:2:('1 Jun 2023 09:27:14.697', '1 Jun 2023 09:47:49.850')
Sat0_5:40:3:('1 Jun 2023 11:43:50.241', '1 Jun 2023 11:57:59.109')
Sat0_5:40:4:('1 Jun 2023 13:58:41.551', '1 Jun 2023 14:13:36.990')
Sat0_5:40:5:('1 Jun 2023 16:08:31.203', '1 Jun 2023 16:29:40.603')
Sat0_5:40:6:('1 Jun 2023 18:17:29.566', '1 Jun 2023 18:39:40.260')
Sat0_5:40:7:('1 Jun 2023 20:27:33.669', '1 Jun 2023 20:42:19.777')
Sat0_5:40:8:('2 Jun 2023 04:33:10.642', '2 Jun 2023 04:44:50.265')
Sat0_5:40:9:('2 Jun 2023 06:33:59.453', '2 Jun 2023 06:55:36.205')
Sat0_5:40:10:('2 Jun 2023 08:42:48.000', '2 Jun 2023 09:04:36.947')
Sat0_5:40:11:('2 Jun 2023 10:57:56.182', '2 Jun 2023 11:14:05.811')
Sat0_5:40:12:('2 Jun 2023 13:14:29.246', '2 Jun 2023 13:27:45.426')
Sat0_5:40:13:('2 Jun 2023 15:25:15.801', '2 Jun 2023 15:44:53.002')
Sat0_5:40:14:('2 Jun 2023 17:34:16.605', '2 Jun 2023 17:56:51.404')
Sat0_5:40:15:('2 Jun 2023 19:43:42.837', '2 Jun 2023 20:02:02.574')
Sat0_5:40:16:('3 Jun 2023 05:52:13.503', '3 Jun 2023 06:12:14.206')
Sat0_5:40:17:('3 Jun 2023 07:58:57.347', '3 Jun 2023 08:21:25.975')
Sat0_5:40:18:('3 Jun 2023 10:12:16.542', '3 Jun 2023 10:30:33.898')
Sat0_5:40:19:('3 Jun 2023 12:29:34.500', '3 Jun 2023 12:42:20.515')
Sat0_5:40:20:('3 Jun 2023 14:41:52.833', '3 Jun 2023 14:59:32.256')
Sat0_5:40:21:('3 Jun 2023 16:51:05.593', '3 Jun 2023 17:13:25.903')
Sat0_5:40:22:('3 Jun 2023 19:00:12.961', '3 Jun 2023 19:20:48.508')
Sat0_5:40:23:('3 Jun 2023 21:12:55.281', '3 Jun 2023 21:18:17.094')
