Sat0_1:159:95:('9 Jun 2023 09:13:35.495', '9 Jun 2023 09:34:51.312')
Sat0_1:159:96:('9 Jun 2023 11:20:37.636', '9 Jun 2023 11:41:53.453')
Sat0_1:159:97:('9 Jun 2023 13:27:39.777', '9 Jun 2023 13:48:55.595')
Sat0_1:159:98:('9 Jun 2023 15:34:41.918', '9 Jun 2023 15:55:57.736')
Sat0_1:159:99:('9 Jun 2023 17:41:44.060', '9 Jun 2023 18:02:59.877')
Sat0_1:159:100:('9 Jun 2023 19:48:46.201', '9 Jun 2023 20:10:02.018')
Sat0_1:159:101:('9 Jun 2023 21:55:48.342', '9 Jun 2023 22:17:04.160')
Sat0_1:159:102:('10 Jun 2023 00:02:50.483', '10 Jun 2023 00:24:06.301')
Sat0_1:159:103:('10 Jun 2023 02:09:52.625', '10 Jun 2023 02:31:08.442')
Sat0_1:159:104:('10 Jun 2023 04:16:54.766', '10 Jun 2023 04:38:10.583')
Sat0_1:159:105:('10 Jun 2023 06:23:56.907', '10 Jun 2023 06:45:12.725')
Sat0_1:159:106:('10 Jun 2023 08:30:59.048', '10 Jun 2023 08:52:14.866')
Sat0_1:159:107:('10 Jun 2023 10:38:01.190', '10 Jun 2023 10:59:17.007')
Sat0_1:159:108:('10 Jun 2023 12:45:03.331', '10 Jun 2023 13:06:19.148')
Sat0_1:159:109:('10 Jun 2023 14:52:05.472', '10 Jun 2023 15:13:21.290')
Sat0_1:159:110:('10 Jun 2023 16:59:07.613', '10 Jun 2023 17:20:23.431')
Sat0_1:159:111:('10 Jun 2023 19:06:09.754', '10 Jun 2023 19:27:25.572')
Sat0_1:159:112:('10 Jun 2023 21:13:11.896', '10 Jun 2023 21:34:27.713')
Sat0_1:159:113:('10 Jun 2023 23:20:14.037', '10 Jun 2023 23:41:29.855')
Sat0_1:159:114:('11 Jun 2023 01:27:16.178', '11 Jun 2023 01:48:31.996')
Sat0_1:159:115:('11 Jun 2023 03:34:18.319', '11 Jun 2023 03:55:34.137')
Sat0_1:159:116:('11 Jun 2023 05:41:20.461', '11 Jun 2023 06:02:36.279')
