Sat0_3:58:16:('5 Jun 2023 15:32:54.331', '5 Jun 2023 15:35:22.148')
Sat0_3:58:17:('5 Jun 2023 17:10:25.830', '5 Jun 2023 17:14:40.673')
Sat0_3:58:18:('5 Jun 2023 18:49:40.240', '5 Jun 2023 18:53:19.447')
Sat0_3:58:19:('5 Jun 2023 20:28:18.674', '5 Jun 2023 20:32:33.835')
Sat0_3:58:20:('5 Jun 2023 22:07:39.353', '5 Jun 2023 22:10:02.349')
Sat0_3:58:21:('6 Jun 2023 16:46:35.017', '6 Jun 2023 16:50:53.810')
Sat0_3:58:22:('6 Jun 2023 18:25:46.011', '6 Jun 2023 18:29:27.486')
Sat0_3:58:23:('6 Jun 2023 20:04:32.556', '6 Jun 2023 20:08:39.695')
Sat0_3:58:24:('6 Jun 2023 21:43:24.184', '6 Jun 2023 21:46:53.583')
Sat0_3:58:25:('7 Jun 2023 16:22:49.307', '7 Jun 2023 16:27:04.908')
Sat0_3:58:26:('7 Jun 2023 18:01:49.975', '7 Jun 2023 18:05:37.943')
Sat0_3:58:27:('7 Jun 2023 19:40:46.196', '7 Jun 2023 19:44:43.508')
Sat0_3:58:28:('7 Jun 2023 21:19:24.462', '7 Jun 2023 21:23:25.649')
Sat0_3:58:29:('8 Jun 2023 15:59:10.741', '8 Jun 2023 16:03:12.212')
Sat0_3:58:30:('8 Jun 2023 17:37:53.188', '8 Jun 2023 17:41:50.369')
Sat0_3:58:31:('8 Jun 2023 19:16:58.643', '8 Jun 2023 19:20:46.720')
Sat0_3:58:32:('8 Jun 2023 20:55:31.701', '8 Jun 2023 20:59:47.197')
Sat0_3:58:33:('9 Jun 2023 15:35:42.640', '9 Jun 2023 15:39:12.621')
Sat0_3:58:34:('9 Jun 2023 17:13:56.981', '9 Jun 2023 17:18:03.996')
Sat0_3:58:35:('9 Jun 2023 18:53:09.130', '9 Jun 2023 18:56:50.665')
Sat0_3:58:36:('9 Jun 2023 20:31:42.763', '9 Jun 2023 20:36:01.568')
Sat0_3:58:37:('10 Jun 2023 15:12:33.482', '10 Jun 2023 15:14:57.791')
Sat0_3:58:38:('10 Jun 2023 16:50:02.802', '10 Jun 2023 16:54:17.881')
